model_name,Fraction inside ellipse (center 0 0; a=10; b=30)
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_single_var_Energy_MAPE_single_var_Mom_X_MACE_single_var_Mom_Y_MACE_single_var_Mom_Z_MACE_Topology,0.833429
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_single_var_Energy_MAPE_single_var_Mom_X_MAE_single_var_Mom_Y_MAE_single_var_Mom_Z_MAE_Topology,0.833429
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_single_var_Energy_MAPE_single_var_Mom_X_MAPE_single_var_Mom_Y_MAPE_single_var_Mom_Z_MAPE_Topology,0.833429
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_single_var_Energy_MAPE_single_var_Mom_X_MSE_single_var_Mom_Y_MSE_single_var_Mom_Z_MSE_Topology,0.833429
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_single_var_Energy_MAPE_single_var_Theta_MACE_Topology,0.833429
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_single_var_Energy_MAPE_single_var_Theta_MAE_Topology,0.833429
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_single_var_Energy_MAPE_single_var_Theta_MAPE_Topology,0.833429
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_single_var_Energy_MAPE_single_var_Theta_MSE_Topology,0.833429
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Mom_X_MSE_Mom_Y_MSE_Mom_Z_MSE_Topology_MAE,0.83148
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Theta_MAE_Phi_MAE_Topology_MAE,0.830509
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Mom_X_MAE_Mom_Y_MAE_Mom_Z_MAE_Topology_MAE,0.823653
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Theta_MSE_Phi_MAE_Topology_MAE,0.823397
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Theta_MAE_Phi_MSE_Topology_MAE,0.823085
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Theta_MSE_Phi_MACE_Topology_MAE,0.822631
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAE_Theta_MSE_Phi_MACE_Topology_MAE,0.822355
Numu_CC_Train_DUNEBeam_Flat_Ar40_p1to10_VectorLeptwNC_eventnum_All_NpNpi_Energy_MAPE_Theta_MAPE_Phi_MAPE_Topology_MAE,0.822027
